Time,X,Smoothed Value ¦Á = 0.1,Smoothed Value ¦Á = 0.6 ,Forecast Error ¦Á = 0.1,Forecast Error ¦Á = 0.6 ,Squared Error ¦Á = 0.1,Squared Error  ¦Á = 0.6 ,RMSE ¦Á = 0.1,RMSE ¦Á = 0.6
1,4.196576477,4.196576,4.196576,,,,,0.80941134,0.856563153
2,4.02982425,4.179900825,4.09652495,-0.166752227,-0.16675175,0.027806305,0.027806146,,
3,4.131548504,4.175065593,4.117539082,0.101724254,0.035023554,0.010347824,0.001226649,,
4,4.087065456,4.166265579,4.099254907,-0.044483048,-0.030473626,0.001978742,0.000928642,,
5,4.097404491,4.15937947,4.098144657,0.010339035,-0.001850416,0.000106896,3.42404E-06,,
6,4.235578862,4.16699941,4.18060518,0.138174371,0.137434205,0.019092157,0.018888161,,
7,4.552147239,4.205514192,4.403530415,0.316568377,0.371542059,0.100215537,0.138043502,,
8,4.630381803,4.248000954,4.539641248,0.078234564,0.226851388,0.006120647,0.051461552,,
9,4.944297082,4.317630566,4.782434748,0.313915279,0.404655834,0.098542802,0.163746344,,
10,4.95146583,4.381014093,4.883853397,0.007168748,0.169031082,5.13909E-05,0.028571507,,
11,5.182714865,4.46118417,5.063170278,0.231249035,0.298861468,0.053476116,0.089318177,,
12,5.338551256,4.548920879,5.228398865,0.155836391,0.275380978,0.024284981,0.075834683,,
13,5.78705274,4.672734065,5.56359119,0.448501484,0.558653875,0.201153581,0.312094152,,
14,6.381230185,4.843583677,6.054174587,0.594177445,0.817638995,0.353046836,0.668533526,,
15,8.229787097,5.182204019,7.359542093,1.848556912,2.17561251,3.417162657,4.733289794,,
16,7.266701916,5.390653808,7.303837987,-0.963085181,-0.092840177,0.927533066,0.008619298,,
17,8.050013129,5.656589741,7.751543072,0.783311213,0.746175142,0.613576456,0.556777343,,
18,8.746274481,5.965558215,8.348381917,0.696261352,0.994731409,0.48477987,0.989490576,,
19,9.006772976,6.269679691,8.743416553,0.260498495,0.658391059,0.067859466,0.433478786,,
20,9.599592423,6.602670964,9.257122075,0.592819447,0.85617587,0.351434897,0.733037121,,
21,10.26475063,6.968878931,9.861699208,0.665158207,1.007628555,0.44243544,1.015315305,,
22,9.896087022,7.26159974,9.882331896,-0.368663608,0.034387814,0.135912856,0.001182522,,
23,9.063791203,7.441818886,9.39120748,-0.832295819,-0.818540693,0.69271633,0.670008867,,
24,9.033139764,7.600950974,9.176366851,-0.030651439,-0.358067716,0.000939511,0.128212489,,
25,10.02568124,7.843424,9.685955484,0.992541476,0.849314389,0.985138582,0.721334932,,
26,9.59865499,8.018947099,9.633575188,-0.42702625,-0.087300494,0.182351418,0.007621376,,
27,9.866050275,8.203657417,9.77306024,0.267395285,0.232475087,0.071500238,0.054044666,,
28,10.44540726,8.427832401,10.17646845,0.579356985,0.67234702,0.335654516,0.452050515,,
29,10.5469661,8.639745771,10.39876704,0.10155884,0.370497648,0.010314198,0.137268507,,
30,10.44651946,8.82042314,10.42741849,-0.10044664,0.047752419,0.010089527,0.002280294,,
31,10.53130909,8.991511735,10.48975285,0.08478963,0.103890598,0.007189281,0.010793256,,
32,10.09949234,9.102309796,10.25559654,-0.43181675,-0.390260511,0.186465706,0.152303266,,
33,10.21199673,9.213278489,10.22943666,0.11250439,-0.043599814,0.012657238,0.001900944,,
34,10.46668871,9.338619511,10.37178789,0.25469198,0.237252054,0.064868005,0.056288537,,
35,11.12946049,9.517703609,10.82639145,0.66277178,0.757672602,0.439266432,0.574067771,,
36,11.77666928,9.743600176,11.39655815,0.64720879,0.950277831,0.418879218,0.903027955,,
37,11.90051951,9.959292109,11.69893497,0.12385023,0.503961362,0.015338879,0.253977055,,
38,12.26432201,10.1897951,12.03816719,0.3638025,0.565387045,0.132352259,0.319662511,,
39,12.2749409,10.39830968,12.18023142,0.01061889,0.236773708,0.000112761,0.056061789,,
40,12.92474482,10.65095319,12.62693946,0.64980392,0.744513403,0.422245134,0.554300208,,
41,14.3185381,11.01771168,13.64189864,1.39379328,1.691598641,1.942659707,2.861505963,,
42,13.13706572,11.22964709,13.33899889,-1.18147238,-0.504832923,1.395876985,0.254856281,,
43,13.01727331,11.40840971,13.14596354,-0.11979241,-0.321725579,0.014350221,0.103507348,,
44,13.41306805,11.60887554,13.30622625,0.39579474,0.267104508,0.156653476,0.071344818,,
45,14.66955244,11.91494323,14.12422196,1.25648439,1.363326193,1.578753022,1.858658309,,
46,15.50426517,12.27387543,14.95224789,0.83471273,1.380043207,0.696745342,1.904519254,,
47,16.21883058,12.66837094,15.7121975,0.71456541,1.266582693,0.510603725,1.604231718,,
48,16.46102419,13.04763627,16.16149352,0.24219361,0.748826687,0.058657745,0.560741407,,
49,17.42701165,13.48557381,16.9208044,0.96598746,1.265518135,0.933131773,1.60153615,,
50,13.75417087,13.51243351,15.02082428,-3.67284078,-3.166633526,13.4897594,10.02756789,,
